Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Back to the table of content,,,,,,,,
,Table 3.10: Fuel cells,,,,,,,,
,Country,Technology,Net capacity (MWe),"Storage
 capacity (h)","Capacity
 factor (%)",Overnight costs (USD/kWe),Investment costs (USD/kWe),,
,,,,,,,0.03,0.07,0.1
,France,Fuel cell,0.00265,na,0.85,6492.080841751398,6588.7424494747565,6715.460640324239,6808.951829864793
,,Fuel cell,0.2025,na,0.85,5901.891674319453,5989.765863158869,6104.964218476581,6189.956208967993
,,Fuel cell,15.2,na,0.85,2360.756669727781,2395.906345263548,2441.9856873906324,2475.9824835871973
,Norway,Fuel cell,1,na,0.85,3529.050107592991,3581.59468697383,3650.477816428316,3701.2989784793544
